method,solver,degree,alpha,generalization,score
LogisticRegression,lbfgs,6,10000.0,l2,0.8397177419354838
LogisticRegression,lbfgs,6,10000.0,,0.8588709677419356
LogisticRegression,lbfgs,6,6189.658188912604,l2,0.8588709677419354
LogisticRegression,lbfgs,6,6189.658188912604,,0.8588709677419356
LogisticRegression,lbfgs,6,3831.1868495572894,l2,0.8653225806451614
LogisticRegression,lbfgs,6,3831.1868495572894,,0.8588709677419356
LogisticRegression,lbfgs,6,2371.3737056616555,l2,0.8653225806451614
LogisticRegression,lbfgs,6,2371.3737056616555,,0.8588709677419356
LogisticRegression,lbfgs,6,1467.799267622069,l2,0.878225806451613
LogisticRegression,lbfgs,6,1467.799267622069,,0.8588709677419356
LogisticRegression,lbfgs,6,908.5175756516862,l2,0.8846774193548388
LogisticRegression,lbfgs,6,908.5175756516862,,0.8588709677419356
LogisticRegression,lbfgs,6,562.3413251903492,l2,0.8909274193548388
LogisticRegression,lbfgs,6,562.3413251903492,,0.8588709677419356
LogisticRegression,lbfgs,6,348.070058842841,l2,0.8973790322580646
LogisticRegression,lbfgs,6,348.070058842841,,0.8588709677419356
LogisticRegression,lbfgs,6,215.4434690031882,l2,0.9038306451612904
LogisticRegression,lbfgs,6,215.4434690031882,,0.8588709677419356
LogisticRegression,lbfgs,6,133.35214321633242,l2,0.9100806451612904
LogisticRegression,lbfgs,6,133.35214321633242,,0.8588709677419356
LogisticRegression,lbfgs,6,82.54041852680182,l2,0.9100806451612904
LogisticRegression,lbfgs,6,82.54041852680182,,0.8588709677419356
LogisticRegression,lbfgs,6,51.08969774506924,l2,0.9102822580645162
LogisticRegression,lbfgs,6,51.08969774506924,,0.8588709677419356
LogisticRegression,lbfgs,6,31.622776601683796,l2,0.916733870967742
LogisticRegression,lbfgs,6,31.622776601683796,,0.8588709677419356
LogisticRegression,lbfgs,6,19.573417814876596,l2,0.916733870967742
LogisticRegression,lbfgs,6,19.573417814876596,,0.8588709677419356
LogisticRegression,lbfgs,6,12.115276586285876,l2,0.9102822580645162
LogisticRegression,lbfgs,6,12.115276586285876,,0.8588709677419356
LogisticRegression,lbfgs,6,7.498942093324558,l2,0.9102822580645162
LogisticRegression,lbfgs,6,7.498942093324558,,0.8588709677419356
LogisticRegression,lbfgs,6,4.6415888336127775,l2,0.9231854838709678
LogisticRegression,lbfgs,6,4.6415888336127775,,0.8588709677419356
LogisticRegression,lbfgs,6,2.8729848333536627,l2,0.9233870967741936
LogisticRegression,lbfgs,6,2.8729848333536627,,0.8588709677419356
LogisticRegression,lbfgs,6,1.7782794100389228,l2,0.9231854838709678
LogisticRegression,lbfgs,6,1.7782794100389228,,0.8588709677419356
LogisticRegression,lbfgs,6,1.1006941712522091,l2,0.9102822580645162
LogisticRegression,lbfgs,6,1.1006941712522091,,0.8588709677419356
LogisticRegression,lbfgs,6,0.6812920690579608,l2,0.8973790322580646
LogisticRegression,lbfgs,6,0.6812920690579608,,0.8588709677419356
LogisticRegression,lbfgs,6,0.4216965034285823,l2,0.8973790322580646
LogisticRegression,lbfgs,6,0.4216965034285823,,0.8588709677419356
LogisticRegression,lbfgs,6,0.2610157215682533,l2,0.8973790322580646
LogisticRegression,lbfgs,6,0.2610157215682533,,0.8588709677419356
LogisticRegression,lbfgs,6,0.1615598098439873,l2,0.8909274193548388
LogisticRegression,lbfgs,6,0.1615598098439873,,0.8588709677419356
LogisticRegression,lbfgs,6,0.1,l2,0.8780241935483872
LogisticRegression,lbfgs,6,0.1,,0.8588709677419356
