method,solver,degree,alpha,generalization,score
LogisticRegression,lbfgs,1,10000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,2,10000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,3,10000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,4,10000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,1,10000.0,,0.8649193548387097
LogisticRegression,lbfgs,2,10000.0,,0.8909274193548388
LogisticRegression,lbfgs,3,10000.0,,0.8780241935483872
LogisticRegression,lbfgs,4,10000.0,,0.8909274193548388
LogisticRegression,lbfgs,1,5623.413251903491,l2,0.7629032258064516
LogisticRegression,lbfgs,2,5623.413251903491,l2,0.7629032258064516
LogisticRegression,lbfgs,3,5623.413251903491,l2,0.7629032258064516
LogisticRegression,lbfgs,4,5623.413251903491,l2,0.8461693548387096
LogisticRegression,lbfgs,1,5623.413251903491,,0.8649193548387097
LogisticRegression,lbfgs,2,5623.413251903491,,0.8909274193548388
LogisticRegression,lbfgs,3,5623.413251903491,,0.8780241935483872
LogisticRegression,lbfgs,4,5623.413251903491,,0.8909274193548388
LogisticRegression,lbfgs,1,3162.277660168379,l2,0.7629032258064516
LogisticRegression,lbfgs,2,3162.277660168379,l2,0.7629032258064516
LogisticRegression,lbfgs,3,3162.277660168379,l2,0.7629032258064516
LogisticRegression,lbfgs,4,3162.277660168379,l2,0.8653225806451614
LogisticRegression,lbfgs,1,3162.277660168379,,0.8649193548387097
LogisticRegression,lbfgs,2,3162.277660168379,,0.8909274193548388
LogisticRegression,lbfgs,3,3162.277660168379,,0.8780241935483872
LogisticRegression,lbfgs,4,3162.277660168379,,0.8909274193548388
LogisticRegression,lbfgs,1,1778.2794100389228,l2,0.7629032258064516
LogisticRegression,lbfgs,2,1778.2794100389228,l2,0.7629032258064516
LogisticRegression,lbfgs,3,1778.2794100389228,l2,0.8397177419354838
LogisticRegression,lbfgs,4,1778.2794100389228,l2,0.8653225806451614
LogisticRegression,lbfgs,1,1778.2794100389228,,0.8649193548387097
LogisticRegression,lbfgs,2,1778.2794100389228,,0.8909274193548388
LogisticRegression,lbfgs,3,1778.2794100389228,,0.8780241935483872
LogisticRegression,lbfgs,4,1778.2794100389228,,0.8909274193548388
LogisticRegression,lbfgs,1,1000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,2,1000.0,l2,0.7629032258064516
LogisticRegression,lbfgs,3,1000.0,l2,0.8653225806451614
LogisticRegression,lbfgs,4,1000.0,l2,0.8717741935483871
LogisticRegression,lbfgs,1,1000.0,,0.8649193548387097
LogisticRegression,lbfgs,2,1000.0,,0.8909274193548388
LogisticRegression,lbfgs,3,1000.0,,0.8780241935483872
LogisticRegression,lbfgs,4,1000.0,,0.8909274193548388
LogisticRegression,lbfgs,1,562.3413251903492,l2,0.7629032258064516
LogisticRegression,lbfgs,2,562.3413251903492,l2,0.8205645161290323
LogisticRegression,lbfgs,3,562.3413251903492,l2,0.8588709677419356
LogisticRegression,lbfgs,4,562.3413251903492,l2,0.8911290322580646
LogisticRegression,lbfgs,1,562.3413251903492,,0.8649193548387097
LogisticRegression,lbfgs,2,562.3413251903492,,0.8909274193548388
LogisticRegression,lbfgs,3,562.3413251903492,,0.8780241935483872
LogisticRegression,lbfgs,4,562.3413251903492,,0.8909274193548388
LogisticRegression,lbfgs,1,316.2277660168379,l2,0.7629032258064516
LogisticRegression,lbfgs,2,316.2277660168379,l2,0.8653225806451614
LogisticRegression,lbfgs,3,316.2277660168379,l2,0.8717741935483871
LogisticRegression,lbfgs,4,316.2277660168379,l2,0.8846774193548388
LogisticRegression,lbfgs,1,316.2277660168379,,0.8649193548387097
LogisticRegression,lbfgs,2,316.2277660168379,,0.8909274193548388
LogisticRegression,lbfgs,3,316.2277660168379,,0.8780241935483872
LogisticRegression,lbfgs,4,316.2277660168379,,0.8909274193548388
LogisticRegression,lbfgs,1,177.82794100389228,l2,0.7629032258064516
LogisticRegression,lbfgs,2,177.82794100389228,l2,0.8588709677419356
LogisticRegression,lbfgs,3,177.82794100389228,l2,0.8911290322580646
LogisticRegression,lbfgs,4,177.82794100389228,l2,0.8846774193548388
LogisticRegression,lbfgs,1,177.82794100389228,,0.8649193548387097
LogisticRegression,lbfgs,2,177.82794100389228,,0.8909274193548388
LogisticRegression,lbfgs,3,177.82794100389228,,0.8780241935483872
LogisticRegression,lbfgs,4,177.82794100389228,,0.8909274193548388
LogisticRegression,lbfgs,1,100.0,l2,0.8141129032258064
LogisticRegression,lbfgs,2,100.0,l2,0.8653225806451614
LogisticRegression,lbfgs,3,100.0,l2,0.8911290322580646
LogisticRegression,lbfgs,4,100.0,l2,0.8973790322580646
LogisticRegression,lbfgs,1,100.0,,0.8649193548387097
LogisticRegression,lbfgs,2,100.0,,0.8909274193548388
LogisticRegression,lbfgs,3,100.0,,0.8780241935483872
LogisticRegression,lbfgs,4,100.0,,0.8909274193548388
LogisticRegression,lbfgs,1,56.2341325190349,l2,0.8653225806451614
LogisticRegression,lbfgs,2,56.2341325190349,l2,0.878225806451613
LogisticRegression,lbfgs,3,56.2341325190349,l2,0.878225806451613
LogisticRegression,lbfgs,4,56.2341325190349,l2,0.9036290322580646
LogisticRegression,lbfgs,1,56.2341325190349,,0.8649193548387097
LogisticRegression,lbfgs,2,56.2341325190349,,0.8909274193548388
LogisticRegression,lbfgs,3,56.2341325190349,,0.8780241935483872
LogisticRegression,lbfgs,4,56.2341325190349,,0.8909274193548388
LogisticRegression,lbfgs,1,31.622776601683796,l2,0.8653225806451614
LogisticRegression,lbfgs,2,31.622776601683796,l2,0.8846774193548388
LogisticRegression,lbfgs,3,31.622776601683796,l2,0.890725806451613
LogisticRegression,lbfgs,4,31.622776601683796,l2,0.9102822580645162
LogisticRegression,lbfgs,1,31.622776601683796,,0.8649193548387097
LogisticRegression,lbfgs,2,31.622776601683796,,0.8909274193548388
LogisticRegression,lbfgs,3,31.622776601683796,,0.8780241935483872
LogisticRegression,lbfgs,4,31.622776601683796,,0.8909274193548388
LogisticRegression,lbfgs,1,17.78279410038923,l2,0.8588709677419356
LogisticRegression,lbfgs,2,17.78279410038923,l2,0.878225806451613
LogisticRegression,lbfgs,3,17.78279410038923,l2,0.8971774193548387
LogisticRegression,lbfgs,4,17.78279410038923,l2,0.9038306451612904
LogisticRegression,lbfgs,1,17.78279410038923,,0.8649193548387097
LogisticRegression,lbfgs,2,17.78279410038923,,0.8909274193548388
LogisticRegression,lbfgs,3,17.78279410038923,,0.8780241935483872
LogisticRegression,lbfgs,4,17.78279410038923,,0.8909274193548388
LogisticRegression,lbfgs,1,10.0,l2,0.8653225806451614
LogisticRegression,lbfgs,2,10.0,l2,0.8715725806451614
LogisticRegression,lbfgs,3,10.0,l2,0.9036290322580646
LogisticRegression,lbfgs,4,10.0,l2,0.9038306451612904
LogisticRegression,lbfgs,1,10.0,,0.8649193548387097
LogisticRegression,lbfgs,2,10.0,,0.8909274193548388
LogisticRegression,lbfgs,3,10.0,,0.8780241935483872
LogisticRegression,lbfgs,4,10.0,,0.8909274193548388
LogisticRegression,lbfgs,1,5.62341325190349,l2,0.8653225806451614
LogisticRegression,lbfgs,2,5.62341325190349,l2,0.8842741935483872
LogisticRegression,lbfgs,3,5.62341325190349,l2,0.8909274193548388
LogisticRegression,lbfgs,4,5.62341325190349,l2,0.884475806451613
LogisticRegression,lbfgs,1,5.62341325190349,,0.8649193548387097
LogisticRegression,lbfgs,2,5.62341325190349,,0.8909274193548388
LogisticRegression,lbfgs,3,5.62341325190349,,0.8780241935483872
LogisticRegression,lbfgs,4,5.62341325190349,,0.8909274193548388
LogisticRegression,lbfgs,1,3.162277660168379,l2,0.8717741935483871
LogisticRegression,lbfgs,2,3.162277660168379,l2,0.8842741935483872
LogisticRegression,lbfgs,3,3.162277660168379,l2,0.8973790322580646
LogisticRegression,lbfgs,4,3.162277660168379,l2,0.8973790322580646
LogisticRegression,lbfgs,1,3.162277660168379,,0.8649193548387097
LogisticRegression,lbfgs,2,3.162277660168379,,0.8909274193548388
LogisticRegression,lbfgs,3,3.162277660168379,,0.8780241935483872
LogisticRegression,lbfgs,4,3.162277660168379,,0.8909274193548388
LogisticRegression,lbfgs,1,1.7782794100389228,l2,0.8780241935483872
LogisticRegression,lbfgs,2,1.7782794100389228,l2,0.8842741935483872
LogisticRegression,lbfgs,3,1.7782794100389228,l2,0.884475806451613
LogisticRegression,lbfgs,4,1.7782794100389228,l2,0.9038306451612904
LogisticRegression,lbfgs,1,1.7782794100389228,,0.8649193548387097
LogisticRegression,lbfgs,2,1.7782794100389228,,0.8909274193548388
LogisticRegression,lbfgs,3,1.7782794100389228,,0.8780241935483872
LogisticRegression,lbfgs,4,1.7782794100389228,,0.8909274193548388
LogisticRegression,lbfgs,1,1.0,l2,0.858467741935484
LogisticRegression,lbfgs,2,1.0,l2,0.890725806451613
