n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,train_accuracy,val_accuracy,train_val_gap
50,10.0,2,1,sqrt,balanced,0.9921171171171171,0.6075268817204301,0.384590235396687
50,10.0,2,1,sqrt,,0.9932432432432432,0.5967741935483871,0.3964690496948561
50,10.0,2,1,log2,balanced,0.9921171171171171,0.6075268817204301,0.384590235396687
50,10.0,2,1,log2,,0.9932432432432432,0.5967741935483871,0.3964690496948561
50,10.0,2,1,,balanced,0.9943693693693694,0.6129032258064516,0.38146614356291775
50,10.0,2,1,,,0.9932432432432432,0.6236559139784946,0.3695873292647486
50,10.0,2,2,sqrt,balanced,0.9831081081081081,0.6021505376344086,0.3809575704736995
50,10.0,2,2,sqrt,,0.9819819819819819,0.6397849462365591,0.3421970357454228
50,10.0,2,2,log2,balanced,0.9831081081081081,0.6021505376344086,0.3809575704736995
50,10.0,2,2,log2,,0.9819819819819819,0.6397849462365591,0.3421970357454228
50,10.0,2,2,,balanced,0.990990990990991,0.6397849462365591,0.35120604475443185
50,10.0,2,2,,,0.9887387387387387,0.6021505376344086,0.3865882011043301
50,10.0,2,4,sqrt,balanced,0.956081081081081,0.5967741935483871,0.3593068875326939
50,10.0,2,4,sqrt,,0.9436936936936937,0.6344086021505376,0.3092850915431561
50,10.0,2,4,log2,balanced,0.956081081081081,0.5967741935483871,0.3593068875326939
50,10.0,2,4,log2,,0.9436936936936937,0.6344086021505376,0.3092850915431561
50,10.0,2,4,,balanced,0.9763513513513513,0.6129032258064516,0.3634481255448997
50,10.0,2,4,,,0.9650900900900901,0.5967741935483871,0.36831589654170294
50,10.0,2,6,sqrt,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,2,6,sqrt,,0.918918918918919,0.5806451612903226,0.33827375762859635
50,10.0,2,6,log2,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,2,6,log2,,0.918918918918919,0.5806451612903226,0.33827375762859635
50,10.0,2,6,,balanced,0.9470720720720721,0.5967741935483871,0.350297878523685
50,10.0,2,6,,,0.9346846846846847,0.5806451612903226,0.35403952339436207
50,10.0,2,8,sqrt,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,2,8,sqrt,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,2,8,log2,balanced,0.9144144144144144,0.6236559139784946,0.2907585004359198
50,10.0,2,8,log2,,0.8986486486486487,0.6182795698924731,0.28036907875617556
50,10.0,2,8,,balanced,0.918918918918919,0.6182795698924731,0.30063934902644585
50,10.0,2,8,,,0.9121621621621622,0.6129032258064516,0.29925893635571055
50,10.0,5,1,sqrt,balanced,0.9864864864864865,0.6075268817204301,0.3789596047660564
50,10.0,5,1,sqrt,,0.9819819819819819,0.6344086021505376,0.3475733798314443
50,10.0,5,1,log2,balanced,0.9864864864864865,0.6075268817204301,0.3789596047660564
50,10.0,5,1,log2,,0.9819819819819819,0.6344086021505376,0.3475733798314443
50,10.0,5,1,,balanced,0.9932432432432432,0.6182795698924731,0.3749636733507701
50,10.0,5,1,,,0.9887387387387387,0.6021505376344086,0.3865882011043301
50,10.0,5,2,sqrt,balanced,0.9774774774774775,0.6129032258064516,0.36457425167102586
50,10.0,5,2,sqrt,,0.9774774774774775,0.6505376344086021,0.32693984306887536
50,10.0,5,2,log2,balanced,0.9774774774774775,0.6129032258064516,0.36457425167102586
50,10.0,5,2,log2,,0.9774774774774775,0.6505376344086021,0.32693984306887536
50,10.0,5,2,,balanced,0.9898648648648649,0.6397849462365591,0.3500799186283058
50,10.0,5,2,,,0.9887387387387387,0.5913978494623656,0.3973408892763731
50,10.0,5,4,sqrt,balanced,0.956081081081081,0.5967741935483871,0.3593068875326939
50,10.0,5,4,sqrt,,0.9436936936936937,0.6344086021505376,0.3092850915431561
50,10.0,5,4,log2,balanced,0.956081081081081,0.5967741935483871,0.3593068875326939
50,10.0,5,4,log2,,0.9436936936936937,0.6344086021505376,0.3092850915431561
50,10.0,5,4,,balanced,0.9763513513513513,0.6129032258064516,0.3634481255448997
50,10.0,5,4,,,0.9650900900900901,0.5967741935483871,0.36831589654170294
50,10.0,5,6,sqrt,balanced,0.9279279279279279,0.5967741935483871,0.33115373437954077
50,10.0,5,6,sqrt,,0.918918918918919,0.5806451612903226,0.33827375762859635
